Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-IQ-A61G	10	8	22	20	40	0	43	6
TCGA-IQ-A61H	29	25	4	39	0	21	4	27
TCGA-IQ-A61I	27	87	0	11	14	0	8	0
TCGA-IQ-A61J	0	0	5	13	13	0	7	1
TCGA-IQ-A61O	0	5	5	22	5	4	0	0
TCGA-IQ-A6SG	2	4	33	14	19	0	23	20
TCGA-IQ-A6SH	3	12	0	21	14	8	19	9
TCGA-KU-A66S	67	0	85	41	0	299	9	0
TCGA-KU-A66T	7	12	14	43	8	10	20	3
TCGA-KU-A6H7	57	70	0	5	18	0	0	0
TCGA-KU-A6H8	0	0	1	4	9	0	0	7
TCGA-MT-A51W	28	9	7	3	0	0	1	21
TCGA-MT-A51X	4	0	0	19	0	0	34	0
TCGA-MT-A67A	4	6	0	60	0	25	10	11
TCGA-MT-A67D	0	12	2	25	15	12	21	18
TCGA-MT-A67F	125	183	0	4	0	0	10	0
TCGA-MT-A7BN	5	10	9	29	13	0	0	1
TCGA-MZ-A5BI	4	1	0	12	0	0	18	0
TCGA-MZ-A6I9	3	3	0	9	9	6	0	0
TCGA-MZ-A7D7	40	15	8	0	38	16	0	20
TCGA-P3-A5Q5	138	116	0	19	44	0	0	0
TCGA-P3-A5Q6	17	19	4	29	20	22	0	30
TCGA-P3-A5QA	0	2	7	49	2	11	0	0
TCGA-P3-A5QE	8	1	2	22	8	4	0	0
TCGA-P3-A5QF	204	230	0	2	0	0	0	0
TCGA-P3-A6SW	10	12	0	3	45	0	0	0
TCGA-P3-A6SX	36	0	37	27	0	21	21	59
TCGA-P3-A6T0	4	6	0	35	32	11	9	5
TCGA-P3-A6T2	7	24	11	26	0	6	0	3
TCGA-P3-A6T3	47	33	4	23	16	0	0	0
TCGA-P3-A6T4	59	31	0	8	8	36	0	20
TCGA-P3-A6T5	50	71	22	58	0	0	9	28
TCGA-P3-A6T6	38	42	21	15	12	15	0	11
TCGA-P3-A6T7	34	12	5	44	18	12	0	26
TCGA-P3-A6T8	1	3	0	15	17	16	22	21
TCGA-QK-A64Z	28	15	4	17	0	0	13	11
TCGA-QK-A652	1	4	5	13	2	9	10	3
TCGA-QK-A6IF	0	6	0	14	5	0	6	0
TCGA-QK-A6IG	37	30	10	44	0	7	0	3
TCGA-QK-A6IH	16	10	1	17	1	3	21	9
TCGA-QK-A6II	92	19	1	9	18	0	30	31
TCGA-QK-A6IJ	0	3	0	28	0	19	2	0
TCGA-QK-A6V9	3	16	0	39	4	10	0	10
TCGA-QK-A6VB	0	0	75	75	0	0	306	0
TCGA-QK-A6VC	49	66	4	7	0	27	0	9
TCGA-QK-A8Z7	6	1	14	18	25	28	46	8
TCGA-QK-A8Z8	9	23	252	22	82	34	0	37
TCGA-QK-A8Z9	16	14	3	2	60	0	15	33
TCGA-QK-A8ZA	15	23	15	15	25	28	0	17
