feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
SNRNP70|6625	-0.11966219432996754	0.8872200940796767	-0.862903450113008	0.38819055360682964	0.676070403521418	1.1643158630206376	0.7319550457598201
CRAT|1384	0.04114761147116124	1.042005906218604	0.8635765562053881	0.3878205473376516	0.9491005226315444	1.1440055955126363	0.7319550457598201
CCM2|83605	-0.08140005933242388	0.9218248330395864	-0.8614551009275448	0.38898743971459826	0.7659796233134394	1.1093781047759523	0.7319550457598201
CYBRD1|79901	-0.05254788285202182	0.9488088882924898	-0.8606296959341432	0.38944202511745496	0.8417953469882372	1.0694265651665686	0.7319550457598201
POR|5447	0.09790446613480569	1.1028574198435366	0.8613980199404808	0.3890188662267561	0.8826200944836822	1.3780498496529863	0.7319550457598201
NCOA7|135112	-0.07128403168879366	0.9311973650021457	-0.8588145863487525	0.390442818807339	0.7913882734643771	1.0957055615583007	0.7319550457598201
IRF1|3659	-0.05508945516009814	0.9464004837599241	-0.8551584474314832	0.39246343640137615	0.8341427950473502	1.073765644178675	0.7338217418279571
ALDH3A2|224	-0.0822523377350233	0.9210395163451723	-0.8549214554253484	0.39259463187795707	0.7627528167563596	1.1121739206114523	0.7338217418279571
UQCRB|7381	0.08541195388315974	1.0891656603152846	0.8555174858335313	0.3922647283876366	0.8955975057595328	1.3245702762470015	0.7338217418279571
FADS2|9415	-0.038340450958145054	0.9623852401342381	-0.8528630885142627	0.39373523308759006	0.8812176711285541	1.0510290258275143	0.7352665417135202
FOS|2353	-0.03942825629294011	0.9613389215345468	-0.8510519676286751	0.39474048555616714	0.8778925022675004	1.0527171831063245	0.7364561297689685
SF3B1|23451	-0.12265068859546759	0.8845725998972931	-0.8496873777564012	0.39549891785515	0.6665983392967407	1.17382333312525	0.7371834442780056
PPL|5493	-0.04046097306065853	0.9603466431702593	-0.8469526069027608	0.39702153826547293	0.8745085656093401	1.0546102248933023	0.7393324734925008
HLA-DQA1|3117	-0.03338009702078655	0.9671708709481414	-0.8429392337776271	0.39926242962994385	0.894944135508049	1.0452266867803541	0.7400783578804739
EXT1|2131	0.08777889647746147	1.0917467062977644	0.8449779004766064	0.39812317800070063	0.8906282424336707	1.338281017739884	0.7400783578804739
HLA-H|3136	0.055636160452949196	1.0572129578678855	0.8437129518873842	0.3988298282087728	0.9290359161651747	1.2030743040563419	0.7400783578804739
CNDP2|55748	0.07781352167015851	1.0809210715187423	0.8429216326194287	0.39927227407651567	0.9020198799219726	1.2953044482282312	0.7400783578804739
DBI|1622	-0.07852369206000938	0.9244801568327362	-0.8441623103858261	0.3985787123832447	0.7704050390086821	1.1093691202710954	0.7400783578804739
EIF3A|8661	0.11680990735007647	1.1239057631581786	0.8415690032139247	0.40002924566598774	0.8562153171220878	1.4752879786195805	0.7407948993814587
SIRPA|140885	0.056777458010100985	1.0584202412378232	0.8408528508647162	0.4004303748988187	0.9272180922500257	1.2081876059422856	0.740851757444623
ADRM1|11047	0.1304590008538274	1.139351226508485	0.8388873885827994	0.4015325054448704	0.8400083361260744	1.5453670654425007	0.742204261450777
TMBIM1|64114	0.09070966304113418	1.0949510543450227	0.835496396147499	0.40343827521172304	0.8850747246650527	1.3545950166693494	0.7450383660419632
RAB7A|7879	0.1272484543797137	1.1356991521596653	0.8324114918611675	0.4051767176599017	0.8416711938749368	1.532442328551207	0.7468695256403718
HSPB8|26353	-0.03354680884094892	0.967009645571299	-0.8324588549424597	0.40514999324568146	0.8935702387640876	1.0464847798884762	0.7468695256403718
FTL|2512	0.06360488168541588	1.06567124933712	0.8316364467480978	0.40561418319902465	0.9173223979829495	1.2380109917307907	0.7469874460387194
RPS25|6230	0.08543331242251076	1.0891889235513337	0.8304156252058023	0.40630383428578076	0.8902898962337529	1.3325238399374486	0.7475691523197439
CTNNA1|1495	0.12990142814312017	1.1387161324286905	0.8289564956479258	0.407129024963346	0.8375835522788531	1.548113530555169	0.7476940844751399
PLA2G2A|5320	0.019352922025627647	1.0195414037483412	0.8295570580065369	0.4067892642035368	0.9739731759090388	1.0672415828977777	0.7476940844751399
C20orf114|92747	-0.01401193009226767	0.9860857800983478	-0.8279299200115993	0.4077101892468198	0.9539133258896872	1.0193433085812806	0.7476940844751399
C4A|720	-0.035698432329295635	0.9649312416775759	-0.826993103989252	0.4082409701234264	0.8866514750295267	1.0501220912472085	0.7476940844751399
PINK1|65018	0.08284190155433781	1.0863700415555646	0.8272365635764615	0.4081029913117341	0.8927625328254022	1.3219639308275621	0.7476940844751399
XAF1|54739	-0.03920027499901596	0.9615581138106979	-0.8234628182524992	0.4102448529279181	0.8759005166884254	1.0555924886662476	0.7506767665652665
MACF1|23499	-0.0737868948698352	0.9288696196322352	-0.8213252359679178	0.41146103686313495	0.778903780039402	1.107709055195608	0.7522139613585648
MCL1|4170	0.12503194158607653	1.1331846482037393	0.8189046970107262	0.4128407898846723	0.8401127894010897	1.528494105940303	0.754047104812187
HAS3|3038	0.036742559653341444	1.0374259111710251	0.8164193226355234	0.4142603489174741	0.9498371990493665	1.1330915679509987	0.7550400383789467
C1R|715	-0.06286245470530592	0.9390726298281289	-0.8154915292928163	0.4147910113101634	0.8073911951181191	1.0922306428710864	0.7550400383789467
CD248|57124	-0.04317308161621032	0.9577456075628173	-0.8153106728314061	0.4148945010892312	0.8633294598958732	1.0624873717578263	0.7550400383789467
CD82|3732	0.06768266211944794	1.0700256949093405	0.8168835188621337	0.4139949971851069	0.9096370351008144	1.2586943402533326	0.7550400383789467
EPN1|29924	-0.10768941728166505	0.8979064273471774	-0.8108395961026299	0.417457792234574	0.692119527644034	1.1648796487736575	0.757820635873584
AHNAK2|113146	0.0456424737987535	1.0467001213335259	0.8113824502750876	0.4171460742691433	0.9374322024667426	1.1687044045603776	0.757820635873584
HMGB3|3149	0.07193966247513985	1.0745905039764398	0.8105011969318964	0.41765217739949945	0.903006329623384	1.2787781362705921	0.757820635873584
ANGPTL4|51129	-0.04229805281465784	0.9585840293220922	-0.8100036452483835	0.4179380806842815	0.8653280846562582	1.0618901172454074	0.757820635873584
TSC22D1|8848	0.06796040334937237	1.0703229264367096	0.8045560385224781	0.421075919301642	0.907014656372852	1.263034901152818	0.7598204855084616
IFNGR1|3459	-0.08601911527593394	0.9175766913208664	-0.8041324956496928	0.42132045921444194	0.7440261836350578	1.1316093478617688	0.7598204855084616
BAIAP2|10458	-0.07846939372982752	0.9245303559243896	-0.806915986039791	0.41971488805013324	0.7640911789335082	1.1186575667824326	0.7598204855084616
